city,operator,test_distance_km,test_duration_h,avg_speed_kmh,RedCap驻留时长,RedCap时长驻留比,x1_平均SS-RSRP,x1_平均SS-SINR,x1_覆盖率1,x1_覆盖率2,x1_覆盖率3,x1_覆盖率4,y1_应用层下行平均吞吐率,y1_应用层下行前10%峰值速率,y1_下行速率达标率,y1_FTP下载尝试次数,y1_FTP下载成功次数,y1_FTP下载掉线次数,y1_FTP下载掉线率,z1_应用层上行平均吞吐率,z1_应用层上行前10%峰值速率,z1_应用层上行速率达标速率,z1_FTP上传尝试次数,z1_FTP上传成功次数,z1_FTP上传掉线次数,z1_FTP上传掉线率,x2_平均SS-RSRP,x2_平均SS-SINR,x2_覆盖率1,x2_覆盖率2,x2_覆盖率3,x2_覆盖率4,y2_应用层下行平均吞吐率,y2_应用层下行前10%峰值速率,y2_下行速率达标率,y2_FTP下载尝试次数,y2_FTP下载成功次数,y2_FTP下载掉线次数,y2_FTP下载掉线率,z2_应用层上行平均吞吐率,z2_应用层上行前10%峰值速率,z2_应用层上行速率达标速率,z2_FTP上传尝试次数,z2_FTP上传成功次数,z2_FTP上传掉线次数,z2_FTP上传掉线率,delta_rsrp,abs_delta_rsrp,delta_cov2,abs_delta_cov2,dl_drop_rate_calc,effective_dl,dl_tail_drag,dl_drops_per_hour,dl_drops_per_km,ul_drop_rate_calc,effective_ul,ul_tail_drag,ul_drops_per_hour,ul_drops_per_km,availability,stay_eff
A,电信,68.66425,1.033,18.07176049149045,1.02356567258125,0.991618577932101,-74.14618825432548,14.090141385525184,0.9771508415536454,0.9779422579648208,0.9861638725122949,0.986979547955115,41.32706090237914,61.294,0.8634974820955462,41.625,41.625,0.0,0.0,21.402581897797223,28.488,0.9871050002615344,42.0,42.0,0.0,0.0,-81.07746889522755,11.023106022790294,0.9407388857193822,0.9420385677367807,0.9669906982202707,0.9683813441291158,29.9951972349312,56.9965,0.7916695568476265,73.25,73.25,0.0,0.0,18.847516188809173,31.63125,0.978559052464162,74.0,74.0,0.0,0.0,1.567512077206402,1.567512077206402,0.01384594819286078,0.015208346013024288,0.0,41.32706090237914,19.966939097620862,0.0,0.0,0.0,21.402581897797223,7.085418102202778,0.0,0.0,0.9782709338846652,0.10994100050212031
A,移动,68.662375,1.033,18.071914325489136,1.026366255565,0.9959500826147971,-70.53885001443781,13.461950450356118,0.977505403021302,0.977686401629335,0.9814473549056876,0.9816288657521857,47.66558095978303,65.495375,0.9100380526497354,42.4375,42.4375,0.0,0.0,29.03244804861693,40.12075,0.9902257274805326,42.25,42.25,0.0,0.0,-73.42841588031547,11.629490739294482,0.957696703679949,0.9585018823597613,0.9715337883962969,0.9723409453648995,44.06510860240804,67.593,0.8941337918248827,74.875,74.875,0.0,0.0,29.28347797895959,46.767375,0.9874130912248833,74.5,74.5,0.0,0.0,0.9770131330286116,2.7781894854616116,-0.002009623540465244,0.008936182908989732,0.0,47.66558095978303,17.82979404021697,0.0,0.0,0.0,29.03244804861693,11.08830195138307,0.0,0.0,0.9777089233987896,0.11094796744046792
B,电信,72.06075,1.109,14.781477892831644,1.09469467426,0.9881223118570142,-76.36199551434956,8.856123312687998,0.9542872084270091,0.9548543024883852,0.9655201561872899,0.9661406443387389,38.297235284613244,61.605625,0.8100168981070957,46.625,46.625,0.0,0.0,33.029377035122224,48.03825,0.9953351460993587,46.5,46.5,0.0,0.0,-75.6533797948302,9.7453182151457,0.9047472854308275,0.9059608776638373,0.9433133487313052,0.9447419201598768,36.584666655495425,70.18775,0.8515561146045005,83.25,83.25,0.0,0.0,32.49289569848357,51.411249999999995,0.9930405361999187,83.0,83.0,0.0,0.0,0.04297410641882493,0.5881536704847719,0.005347483756260291,0.018149741838925287,0.0,38.297235284613244,23.308389715386756,0.0,0.0,0.0,33.029377035122224,15.008872964877774,0.0,0.0,0.9552743126469692,0.18444252272271305
B,移动,72.05999999999999,1.1088125,14.78305776163048,1.099546511915,0.9923486573855151,-74.26277571748142,13.29992086173329,0.9790593155485665,0.9790850868600327,0.9867881743673201,0.986814085132439,57.37125697320138,80.67937500000001,0.8968596359003969,46.625,46.625,0.0,0.0,46.27764198003253,62.4663125,0.9939326899225875,46.875,46.8125,0.0,0.0,-72.74833644448059,14.033617166539319,0.9659212101530545,0.9659935954631379,0.9864891844508417,0.986561941763543,55.065050914666514,85.44475,0.9150791266048975,83.25,83.25,0.0,0.0,47.602397146710985,69.8775,0.9946178958211219,83.75,83.625,0.0,0.0,0.3535645820401605,0.5483098711009866,-0.0015732353345938865,0.003974778553926139,0.0,57.37125697320138,23.308118026798617,0.0,0.0,0.0,46.27764198003253,16.18867051996747,0.0,0.0,0.9796580441495463,0.18700070589907467
C,电信,55.52362156611683,1.4745659722222229,9.053837647948058,1.4731219972222216,0.9994722507379139,-79.57755884533191,11.080846357720617,0.9916849865153344,0.9918042483863054,0.9918684472496967,0.9919878144188284,47.729831593380084,71.0129625,0.9360436311488292,39.5,39.5,0.0,0.0,18.18584404073885,23.121075,0.9902965665543368,40.25,40.25,0.0,0.0,-80.4346193513621,10.102027167886462,0.9903581267217629,0.9906336088154271,0.9920389208314905,0.992315347191508,44.176110858761845,75.38323340710848,0.886380286791459,69.0,69.0,0.0,0.0,18.235618932503076,24.63882991911765,0.9798696712891628,70.5,70.5,0.0,0.0,0.007812404839452114,0.39375108343709897,-0.004011113430811009,0.007889713015469979,0.0,47.729831593380084,23.283130906619913,0.0,0.0,0.0,18.18584404073885,4.93523095926115,0.0,0.0,0.991624902538509,0.23443572766610865
C,移动,55.52742909520117,1.4745548611111112,9.053988349202267,1.4723646617291668,0.9987307429022311,-79.90039724649786,11.837631838569239,0.9912703158375852,0.9915345417450768,0.9915160378882476,0.9917804267874054,46.840908568534005,68.2525,0.9529775627755404,39.6875,39.6875,0.0,0.0,37.70861366438874,48.2920625,0.9880629715348522,39.875,39.8125,0.0625,0.006944444444444437,-80.57814943907279,9.92336504470799,0.9853426861811613,0.9858924273170637,0.9871905828028987,0.9877425447860625,43.688310763644395,70.66738721347402,0.932517812040955,69.375,69.375,0.0,0.0,35.697568298191975,48.624655169642864,0.9805799575216163,69.75,69.75,0.0,0.0,-0.052217258946537726,0.35391711972091144,-0.007517899943986273,0.01014488987219525,0.0,46.840908568534005,21.411591431465993,0.0,0.0,0.00625,37.37087499059245,10.583448835611255,0.16658029170059988,0.0,0.9912377754345703,0.2340050247782944
D,电信,54.32286768808951,1.009402708333334,13.641586597747743,0.9774294444444447,0.9493956737931316,-76.77696028662214,13.809559029421463,0.9400703818004656,0.9407753252810649,0.9905277084945338,0.9912419366726646,29.976777054061937,45.4999,0.9090413071719009,28.75,28.75,0.0,0.0,12.62550551283401,18.230874999999997,0.990828155445639,28.625,28.625,0.0,0.0,-73.76215201845852,12.69373001028125,0.971297590638792,0.9724055011196252,0.9881957539674133,0.9893504883784985,26.648935044156726,48.04330484848482,0.84834339951472,47.5,47.5,0.0,0.0,11.056803618539448,15.487336921568625,0.9887731133896778,47.25,47.25,0.0,0.0,0.40250435756415115,0.5428288813501503,0.003135290083362746,0.009892534465629738,0.0,29.976777054061937,15.523122945938063,0.0,0.0,0.0,12.62550551283401,5.605369487165989,0.0,0.0,0.9400221034102202,0.1929689691151718
D,移动,54.326387156844135,1.0093996527777778,13.642290913280977,0.9924735416666663,0.9887151659699301,-77.40374524315843,12.107663555175801,0.9759204348995942,0.9771144311590938,0.9868526852028937,0.9880551755170234,52.256085596986054,74.67678125,0.9295611036155406,28.5625,28.3125,0.1875,0.0013392857142857126,19.96818846042193,30.20054875,0.9907373374586744,28.75,28.75,0.0,0.0,-74.96729808273408,11.444955079152619,0.9564023253474444,0.9584548449457557,0.9899691598876813,0.9920771772484193,49.84067064615248,79.74468185805925,0.9213371178088182,47.125,46.625,0.375,0.002678571428571425,19.638928847676958,34.74776084444631,0.9938412983648902,47.5,47.5,0.0,0.0,0.2324193732243991,0.6609666525477493,-0.0035676431375534085,0.011292715485038365,0.0013020833333333333,52.21745140816627,22.420695653013944,0.037805184451775,0.0017774213060728372,0.0,19.96818846042193,10.23236028957807,0.0,0.0,0.9761735666480463,0.1892114465023629
E,电信,31.90899120935368,1.137950757575758,8.369396586642496,1.1031110353535358,0.9383394038531402,-77.75673919326357,12.492776007278094,0.9123962935524823,0.9244358671989237,0.9683448095889703,0.9843473351630622,36.83242902515065,62.753299999999996,0.9108820248220908,31.818181818181817,31.636363636363637,0.0,0.0,20.44042403538466,26.914199999999997,0.9725669335752507,32.45454545454545,32.36363636363637,0.09090909090909091,0.0075757575757575725,-80.07261430701847,12.122577646029256,0.8779618387867297,0.89582499014246,0.9620681289688598,0.9871897947228027,37.22516587458316,64.28837615103784,0.9201538233129952,44.285714285714285,44.0,0.0,0.0,17.299195385931487,24.799425782936513,0.9710892724086895,45.285714285714285,45.142857142857146,0.14285714285714285,0.0119047619047619,1.4898475233124404,1.4898475233124404,-0.014043552379855868,0.02450162704328272,0.0,36.83242902515065,25.920870974849347,0.0,0.0,0.006993006993006993,20.277837432160105,6.473775964615343,0.19873252809857156,0.06620004554553435,0.9124737716194828,0.16273715754729562
E,移动,31.90830384572063,1.1379465909090913,8.369202833907053,1.1008430681818184,0.9524495563544495,-75.02437882421206,11.868909456523232,0.921566408403113,0.930207425851,0.9642979824231861,0.9750131343434932,39.668754202054146,65.94098181818181,0.9093606043827872,31.863636363636363,31.727272727272727,0.045454545454545456,0.00019762845849802363,37.79717495291106,53.35221818181819,0.976345689582445,32.04545454545455,32.0,0.045454545454545456,0.005050505050505045,-77.94890584853887,10.954545638630107,0.8927299820713532,0.9073108874418129,0.957771718015006,0.9764887689250635,41.39950465501259,69.57859415496902,0.897868438743026,44.357142857142854,44.142857142857146,0.07142857142857142,0.00031055900621118003,34.33593686077395,54.10587767892758,0.9804407919419523,44.642857142857146,44.57142857142857,0.07142857142857142,0.007936507936507927,0.7854802762276155,0.855355928715916,-0.016912839778649214,0.031888946526124506,0.00019592476489028212,39.66114862072615,26.27222761612767,0.005525983527595701,0.0003428578212944921,0.004545454545454546,37.757186331020144,15.555043228907126,0.13023188510653683,0.042972015373523575,0.9214548001955212,0.16642301309702925
F,电信,34.46228571428571,0.8889090909090908,11.39629136332366,0.8351212371963637,0.9672842016178875,-77.55497813410663,12.101241229703975,0.925434746311311,0.9267865878370841,0.9595766209852509,0.960981229234519,33.370491631025814,55.050636363636364,0.8356609493961717,37.0,37.0,0.0,0.0,16.55780718543102,21.371363636363636,0.9735445079149603,37.18181818181818,37.18181818181818,0.0,0.0,-82.96412108316598,8.436742724743517,0.8689269520885002,0.8707411101526582,0.9386104447826594,0.9405368230249668,27.486868593855487,52.156285714285715,0.7515856486080095,52.42857142857143,52.42857142857143,0.0,0.0,15.743420031200069,21.010285714285715,0.965063028566605,52.714285714285715,52.714285714285715,0.0,0.0,-0.24938455167859835,0.2756958631370858,0.01420924216275973,0.01742930558030485,0.0,33.370491631025814,21.680144732610547,0.0,0.0,0.0,16.55780718543102,4.813556450932615,0.0,0.0,0.929790172116602,0.13760064902592486
F,移动,34.46214285714286,0.8885454545454546,11.401632798581002,0.8649253416304545,0.9851568993628771,-73.507475804625,10.489989594676082,0.9411916541998799,0.9420955452499349,0.9562815147570894,0.9572162968999645,44.14847156718925,66.58454545454545,0.9080325416034758,36.95454545454545,36.95454545454545,0.0,0.0,22.365236789934645,31.527272727272727,0.9772265973921151,37.09090909090909,37.09090909090909,0.0,0.0,-76.9357728374446,8.037680295531562,0.901269652245818,0.9025450826924027,0.9375370922250561,0.9388902116019711,37.88635191870214,63.134,0.8608689919513487,52.42857142857143,52.42857142857143,0.0,0.0,20.84415922761017,32.016,0.9689097076516054,52.57142857142857,52.57142857142857,0.0,0.0,0.0019372552109747484,0.47073630953519896,0.008169935437156448,0.015869607870197422,0.0,44.14847156718925,22.436073887356205,0.0,0.0,0.0,22.365236789934645,9.162035937338082,0.0,0.0,0.9429000558125346,0.1419864204100051
G,电信,56.97725,1.210625,12.482502130817053,1.1855066882375,0.9957090564184065,-74.73885272087257,12.901953913519815,0.9842835528443086,0.9870645701588165,0.989210893799757,0.9920143249096538,36.148848422282626,53.030875,0.9085073752815586,50.125,50.125,0.0,0.0,19.212810273114346,23.383374875,0.9865105063274586,50.5,50.5,0.0,0.0,-75.31822187589232,11.78111787168351,0.968140242541077,0.9729860618374365,0.9801169175667243,0.9849874392437737,35.81207125433117,57.6625,0.8651173599814083,90.25,90.25,0.0,0.0,19.194069221275782,24.461750000000002,0.9833848531684697,91.0,91.0,0.0,0.0,0.6744146570511731,0.8005762192524273,0.004457199517660548,0.006016759995814025,0.0,36.148848422282626,16.882026577717376,0.0,0.0,0.0,19.212810273114346,4.170564601885654,0.0,0.0,0.9850974304647228,0.16824821715123345
G,移动,56.9655,1.206,12.506062993447522,1.1890345144543748,0.9969797363889532,-71.23363515040472,13.683964262086151,0.9889314380871308,0.9909361275929002,0.9923715881470722,0.9943950380740149,63.56470878543996,83.14625000000001,0.9491570441235859,50.4375,50.4375,0.0,0.0,25.952286026819586,34.463375,0.9902466434505939,50.0,50.0,0.0,0.0,-70.832004700281,12.974431251139263,0.9777896697899823,0.9811013932882064,0.9872781379228011,0.9906169101680884,58.273720188326266,82.651875,0.9263056354865506,90.875,90.875,0.0,0.0,26.908545259062166,39.20675,0.9831172650546693,90.0,90.0,0.0,0.0,0.6136475541819983,0.6307344350733501,0.000770861897593747,0.007283478375667993,0.0,63.56470878543996,19.581541214560037,0.0,0.0,0.0,25.952286026819586,8.511088973180417,0.0,0.0,0.9894594685595328,0.1665904701801335
H,电信,77.64219999999999,1.2197777777777778,13.62043698383232,1.1744064812722224,0.9304800228863495,-78.58425851299445,9.950161146874205,0.8509835736396292,0.8865327435232091,0.8649458349570771,0.9493227992351672,20.40505976000733,34.97888888888889,0.7108357340352522,49.44444444444444,49.44444444444444,0.0,0.0,9.961243583466192,13.459444444444445,0.9549017146516344,50.333333333333336,50.333333333333336,0.0,0.0,-78.37351980370649,8.659534636441002,0.9261429473888549,0.9268902411962072,0.9417614911853214,0.9425504000547453,24.61177052116313,46.0326,0.7416723326030572,81.0,81.0,0.0,0.0,12.27979403176036,16.961599999999997,0.9695099318544296,82.6,82.6,0.0,0.0,0.14086769166476074,0.4148760306792383,-0.0047292846360888156,0.014972680248110803,0.0,20.40505976000733,14.57382912888156,0.0,0.0,0.0,9.961243583466192,3.4982008609782516,0.0,0.0,0.8514062419528042,0.19681058027058887
H,移动,77.6882,1.2384444444444445,13.578081648182954,1.2099628672855554,0.9887716658459461,-76.20413073538106,11.862655577176588,0.9365534447927649,0.9638625383666167,0.9465759798087644,0.9750032326597028,35.548005810944396,52.927166666666665,0.8463398883468863,50.5,50.5,0.0,0.0,21.522995648628132,29.035777777777778,0.9734717670853082,49.833333333333336,49.833333333333336,0.0,0.0,-75.63026116016279,9.377534767099101,0.9437117788388261,0.9438653807545492,0.9652346154421305,0.9653962505593274,35.76240095869695,57.2727,0.8642874262740652,83.0,83.0,0.0,0.0,22.795903417102835,33.6891,0.9863145386444007,81.7,81.7,0.0,0.0,0.14472111631302056,0.5747722924228199,-0.003682396948095301,0.009836309092515306,0.0,35.548005810944396,17.379160855722272,0.0,0.0,0.0,21.522995648628132,7.512782129149646,0.0,0.0,0.936997782339014,0.19979113473339558
I,电信,56.655371558383116,1.2732243402777776,13.472094335468256,1.2466030902777783,0.9886844498821972,-78.09820238210536,10.142691322229918,0.9731755995841382,0.9740547746619717,0.9840850538836567,0.9849916736472785,24.019849999773285,49.8517075,0.6400586728657554,30.625,30.0,0.125,0.00078125,13.89178559792963,21.41969625,0.8446990979233924,31.0,30.75,0.25,0.0015337423312883375,-74.8806015465537,10.82773397245528,0.9596668075578815,0.960240954539509,0.983119954755863,0.9837235417873644,24.38583343830905,51.86168409027778,0.73219664751444,51.25,50.0,0.25,0.0015625,15.1199402755667,22.444534864583325,0.9439670571054425,52.0,51.5,0.5,0.003067484662576675,1.224816927497205,1.224816927497205,0.005054016654849003,0.018833086938292,0.0007621951219512195,24.00115404129053,25.831857500226718,0.017725132122150114,0.0011676895354994976,0.0015151515151515152,13.871023226186752,7.527910652070371,0.03545026424430023,0.002335379070998995,0.97307454661188,0.10472345377123844
I,移动,56.65564270870388,1.2729867534722221,13.47736252758079,1.2390011631944446,0.9802217068099897,-71.42352803028515,12.676884062437884,0.9639100951191872,0.9673618058975891,0.9835341635090272,0.9871411645542397,67.00431840142777,91.87784375,0.9653757895879723,30.6875,30.5625,0.0625,0.00038343558282208563,41.50960232437137,53.679936875,0.9794319796277658,30.9375,30.8125,0.125,0.0007716049382716062,-70.42184729362204,10.857418463932342,0.9336099986349651,0.9364106203988533,0.9803076874145863,0.9833269824904326,63.86481208089275,92.03785797916672,0.9545069229184382,51.375,51.125,0.125,0.0007668711656441713,41.063819761435184,58.53397391442,0.9924684575967926,51.875,51.625,0.25,0.0015432098765432124,0.8006958368466517,1.4475354027359781,0.011011666220209632,0.01959327832483962,0.00038109756097560977,66.991135185534,24.873525348572226,0.008864441416088602,0.000583911707473405,0.0007621951219512195,41.49742015598521,12.170334550628626,0.017728882832177204,0.00116782341494681,0.964387145735759,0.10235153299699101
J,电信,70.78854947616644,1.7147185714285709,13.350342903970551,1.692923293650794,0.9642295037765106,-88.01131896941844,7.647586088494045,0.8980382099635441,0.9276959091901994,0.9300487544488545,0.9623457032247753,14.570820090433122,29.36012285714286,0.43409439544931416,41.857142857142854,41.714285714285715,0.0,0.0,8.114498519184313,12.838504285714285,0.8686130816048591,42.142857142857146,42.0,0.14285714285714285,0.00061576354679803,-80.58187761213969,10.349940353975306,0.9762858026466623,0.9772805990960043,0.9819867488094086,0.9829893710521973,25.05797051869297,46.88007196666666,0.8112383046871227,84.33333333333333,84.0,0.0,0.0,11.850371232211401,19.7894855,0.9738351504985556,85.0,84.66666666666667,0.3333333333333333,0.0014367816091954034,0.883748967266167,0.883748967266167,-0.0008564350146329872,0.005334629346404977,0.0,14.570820090433122,14.789302766709735,0.0,0.0,0.0006131207847946045,8.105089517443503,4.724005766529973,0.015306055029451494,0.001629007626520037,0.8987446774643634,0.11050247685225657
J,移动,70.79712592536211,1.7147707738095241,13.350706905669186,1.7127795833333332,0.9997286856121924,-81.34871095988926,10.292956479355555,0.9861089108767521,0.9867852846927915,0.9863584703245702,0.9870350147473852,38.77642355453355,59.223025,0.7094025833840197,42.0,41.42857142857143,0.2857142857142857,0.0012435921777102742,29.727078024565287,46.10665928571429,0.9719770972333912,42.0,41.785714285714285,0.14285714285714285,0.0006184291898577614,-74.62376100135947,13.403850399644737,0.9836668391058837,0.9838197488877465,0.9858515701641405,0.9860053536531715,54.415317532533,89.47319928075392,0.9057386637322834,84.66666666666667,83.33333333333333,0.6666666666666666,0.002901715081323973,48.455099127644395,78.32875375634914,0.9904490276783585,84.66666666666667,84.16666666666667,0.3333333333333333,0.0014430014430014432,0.3733051710751833,0.9221597762761841,-0.00400968350642648,0.006635347084378795,0.001226241569589209,38.72398350751282,20.44660144546645,0.030611751383947828,0.003257960367501591,0.0006131207847946045,29.696934506497264,16.379581261149,0.01530475276470687,0.0016284483270543558,0.9860975627536812,0.1105589224536332
